Living Option,Work Destination,Work Life Balance Energy After Commuting, Annual House Rent (?),Transportation Cost per Day (?),Total Transportation Cost per Month (?),Total Transportation Costs Per Annually (?)
"Gwagwalada, Abuja","Central Business Area, Abuja",40%,"?200,000","?2,500","?57,500","?690,000"
"Lugbe, Abuja","Central Business Area, Abuja",80%,"?500,000","?2,000","?46,000","?552,000"
